id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1249029704390250498,"ayer fue el cumple de mi padre y del que hace de Hopper en Stranger Things, y encima nacieron en el mismo año jaja que loco",was the birthday of my father which makes up Hopper in Stranger Things were born in the same haha ​​that crazy yesterday,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.44166666666666665)",-0.13333333333333333,0.44166666666666665,es,uruguay,
1249029461716152320,"I’m rewatching stranger things for the 5 time and it’s still great. Some shows you just can watch forever, Comment your Fav Shows!",I rewatching stranger things 5 time still great Some shows watch forever Comment Fav Shows,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,en,Universe,
1249029448445448195,@blueshinesugar udah nonton dong.. eh betewe sebel kalo series yang ending di season satu nggantung ke season 2. ny… https://t.co/2FQjzyjrpl,blueshinesugar already watching dong .. uh betewe resentful if the series ending in season one to season 2. hang ny,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,Jakarta,
1249029433547202562,@LouBeardsley It was so ridiculous that I just couldn’t stomach it anymore. Have you watched ozark and stranger thi… https://t.co/LWdTzOSjH2,LouBeardsley It ridiculous I stomach anymore Have watched ozark stranger thi,"Sentiment(polarity=-0.3333333333333333, subjectivity=1.0)",-0.3333333333333333,1.0,en,"Clifton, England",
1249029361598107649,"Generell Serien
•Stranger Things
•Riverdale
•Tote Mädchen Lügen nicht
•Haus des Geldes
•You - Du wirst mich lieben… https://t.co/WvyrRL9qgD",Generally series Stranger Things Riverdale Dead Girl lies not House of Money You you'll love me,"Sentiment(polarity=0.11666666666666665, subjectivity=0.5)",0.11666666666666665,0.5,de,,
1249029318837243906,https://t.co/OZ4YbFXqfr,,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,,
1249029299937607681,@deangrl36 For real? He kind of sounds like a jerk. Who was the guy from Stranger Things?,deangrl36 For real He kind sounds like jerk Who guy Stranger Things,"Sentiment(polarity=0.8999999999999999, subjectivity=1.0)",0.8999999999999999,1.0,en,"Hopewell Junction, NY",
1249029264181166085,https://t.co/81DzLpSa4o,,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,,
1249029100196552705,el hopper (stranger things) https://t.co/qa1mN5UB9w,el hopper stranger things,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,she | navi,
1249029094374809601,lucas sinclair (stranger things) https://t.co/s6mUIsuKNG,lucas sinclair stranger things,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,she | navi,
1249029049575518209,https://t.co/8PyiRj6O9f,,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,,
1249028961679446017,"@moviemenfes Seru kok, gabungan stranger things  + teotfw rate: 8/10",Seru moviemenfes stranger things combined really teotfw rate 8/10,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,de,she/her,
1249028944482967553,"@LVLOFCONCERNVHS This is funny because i am watching stranger things right now
Steve, robin and erica",LVLOFCONCERNVHS This funny watching stranger things right Steve robin erica,"Sentiment(polarity=0.26785714285714285, subjectivity=0.7678571428571428)",0.26785714285714285,0.7678571428571428,en,"ᴘᴇɴᴇ́ʟᴏᴘᴇ, ᴋᴀʏʟᴀ    sʜᴇ/ʜᴇʀ  ",
