id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1249033227160834048,"भीलवाड़ा सरपंच का दावा- ‘सफ़लता के पीछे कांग्रेस नहीं, मोदी की अपील का लोगों ने किया पालन’
https://t.co/NFlDECzdL0",,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,India Maharashtra Pune,
1249033218008821761,"@waglenikhil And he is PM of India not mumbai..think outside Mumbai,hassshh he didn't wear fancy mask..just simple… https://t.co/KihRZlQovC",waglenikhil And PM India mumbai..think outside Mumbai hassshh n't wear fancy mask..just simple,"Sentiment(polarity=0.0, subjectivity=0.20357142857142857)",0.0,0.20357142857142857,en,"Pune,Maharashtra,India.....",
1249033212887814145,@_garrywalia @yadavtejashwi Nitish ji ko Modi talwa chatne fursat mile tab na,_Garrywalia Yadwatejshwi Nitish Ji Modi sole lick busy met then not,"Sentiment(polarity=0.05, subjectivity=0.275)",0.05,0.275,ht,United Kingdom,
1249033197104427008,@TheMukesh_ Hero ka tau pata hi hai sab ko Modi ji....per iss gaddar kamine ko vilan jaroor lena be👉👉👉@ArvindKejriwal,Tmkesh_ the hero know all the Modi ... Kpar must take Arvindkejriwal Villain this traitor bastard,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,"Chicago, IL",
1249033177735131137,"@narendramodi Modi ji your govt. is really doing well in this crisis.
People are with you. Hinduism says that God e… https://t.co/JG04b8k2W1",narendramodi Modi ji govt really well crisis People Hinduism says God e,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,,
1249033160488177665,Like in national security and foreign relation we trust on you(Modi ji) same as in economic growth and rbi governan… https://t.co/PY1H35i6jj,Like national security foreign relation trust Modi ji economic growth rbi governan,"Sentiment(polarity=0.037500000000000006, subjectivity=0.1625)",0.037500000000000006,0.1625,en,Singrauli,
1249033154515501057,@navsszz Modi is from backward class,navsszz Modi backward class,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Bharatvarsh,
1249033149830422530,"@SureshChavhanke Modi and his govt is responsible for spreading Coronavirus.
More than 15 lakh people coming to Ind… https://t.co/HrdOyXwTo4",SureshChavhanke Modi govt responsible spreading Coronavirus More 15 lakh people coming Ind,"Sentiment(polarity=0.35, subjectivity=0.525)",0.35,0.525,en,"Mandi, Himachal Pradesh, India",
1249033143958396930,"@tehseenp @narendramodi Planning another Partition! Excellent, expected from Vadra khandaan! After all your Gandhi… https://t.co/jIeMPpxVmU",tehseenp narendramodi Planning another Partition Excellent expected Vadra khandaan After Gandhi,"Sentiment(polarity=0.45, subjectivity=0.7)",0.45,0.7,en,Bengaluru Mumbai,
1249033138711465986,#Modi can resist despite UNSG call for global ceasefire shows Modi frustration to please Indians… https://t.co/xMYg41BUhq,Modi resist despite UNSG call global ceasefire shows Modi frustration please Indians,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1249033137696518146,@LambaAlka Gabdhi ji bhi ramraj chahte the or modi ji or hm log bhi yhi chahte hai,Lnbalka Gbdi G also want Ramarajya Modi We also want that,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,,
1249033134852562944,"https://t.co/15gTuanO6o 

Shared by Indian Express android app. 
Click here to download 
https://t.co/zBpnyeK8I0",Shared Indian Express android app Click download,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,hyderabad,
1249033112882794496,@arvind_raman23 @Vedic_Revival Boycott just do one thing don't use petrol that's come from Arab muslim country 😂 an… https://t.co/DMx0omQmu7,arvind_raman23 Vedic_Revival Boycott one thing n't use petrol 's come Arab muslim country,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1249033110211067904,@amitmalviya Same secular leaders will then blame these deaths on Modi. Endagering large no. of muslims' lives for… https://t.co/W0rKJpqwK8,amitmalviya Same secular leaders blame deaths Modi Endagering large muslims lives,"Sentiment(polarity=0.10714285714285714, subjectivity=0.2767857142857143)",0.10714285714285714,0.2767857142857143,en,"Rajasthan, India",
1249033108906598402,@narendramodi Chalu karya Modi sir plz lockdown loan Kar sirpf 2days,narendramodi Chalu karya Modi sir plz lockdown loan Kar sirpf 2days,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,ht,,
1249033098324578304,@TimesNow How about paying back all money you and your family looted. Then Modi can use to help poor. Suddenly this… https://t.co/eGM5OQBVRw,TimesNow How paying back money family looted Then Modi use help poor Suddenly,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.3666666666666667)",-0.13333333333333333,0.3666666666666667,en,"Dobbs Ferry, NY",
1249033086077038592,तीन हफ्ते पहले उन्होंने राष्ट्र के नाम संबोधन में 'जान है तो जहान है' का संदेश दिया था। आखिर प्रधानमंत्री मोदी ने इ… https://t.co/nHkq3fZ5Hj,,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,"दिल्ली, भारत",
1249033079605194752,"@007AliSohrab Valid Prime Minister 
#Narendra_Damodar_Modi_sir
 I request @ you to take strict action with the jour… https://t.co/FitUYA4B26",007AliSohrab Valid Prime Minister Narendra_Damodar_Modi_sir I request take strict action jour,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1,en,,
1249033071350779904,@narendramodi @PMOIndia @PankajSinghBJP Feel proud of our PM Sh. Narendar Modi ji for not only taking care of India… https://t.co/CA8KT2N0Hb,narendramodi PMOIndia PankajSinghBJP Feel proud PM Sh Narendar Modi ji taking care India,"Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1.0,en,Noida,
1249033069849219073,"Batao Bc! Apne Desh ka Pm khud hi Mask Nahi laga rha hai! 

Gamcha-udiin Modi Chutkaar 🙏 https://t.co/u7XlPlR9UO",Just tell Pt your country itself did not mask: Gamchha-Udin Modi Cutkar,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,Sri Lanka,
1249033021321183232,"@Tejasvi_Surya Give ur salary, u can get luxury office by being MP fr jst 8months, &amp; begging here for charity… https://t.co/EJhpnXHCD1",Tejasvi_Surya Give ur salary u get luxury office MP fr jst 8months amp begging charity,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1249033013465251846,"@NIRMALUPADHYAY8 @saddamshaikhsad @anjanaomkashyap Amit shah bhai ki pura UP aaya tha
Don bhai amit bhai 
Modi is leader",Nirmlaupadyayr 8 Sddamseksad Anjanaonkashyp Shah came complete form of Brother Don's brother Amit Bhai Modi Leader,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,hi,,
id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1249033407062933504,"@rahulkanwal Allah divided the whole world in two category 
MOMINS and QAFIRS. 

Modi also created two category 
BH… https://t.co/8cUq30Mf0J",rahulkanwal Allah divided whole world two category MOMINS QAFIRS Modi also created two category BH,"Sentiment(polarity=0.2, subjectivity=0.4)",0.2,0.4,und,"Noida, India",
1249033403057356800,"Narendra Modi - Fake Affidavit
Amit Shah - Fake Encounter
Smriti Irani - Fake Degree
RSS - Fake Freedom Fighters
Bh… https://t.co/YHJ6wgesaw",Narendra Modi Fake Affidavit Amit Shah Fake Encounter Smriti Irani Fake Degree RSS Fake Freedom Fighters Bh,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,,
1249033388645683202,"@adi_INDIA90 @arvindgunasekar Check your eyesight , it says 17143 reported , so balance 901 are waiting for results… https://t.co/EdpoX8jmfc",adi_INDIA90 arvindgunasekar Check eyesight says 17143 reported balance 901 waiting results,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Chennai ,
1249033369482137600,@INCMP Hamara to lag rha h.. jiska nhi lag rha sabko malum h... waise modi ji k bhashan ka telecast bhi koi bura idea nhi,Inkanp has been our feeling .. which is not the same feeling knew everyone ... Well Modi's speech telecast No Bad Idea,"Sentiment(polarity=0.17499999999999996, subjectivity=0.3958333333333333)",0.17499999999999996,0.3958333333333333,in,,
1249033357565898753,"@narendramodi Modi ji you are the best PM of India
Jaise ki 21 din ke Lockdown me dekhne ko mil raha hai sir hamari… https://t.co/CiYb0ZEnSK",Narendramodi Modi Best witnessing Lokdon 21 DIN like West Indian Sir Our,"Sentiment(polarity=1.0, subjectivity=0.3)",1.0,0.3,hi,Delhi,
1249033351094136833,"@msgohawar @IndiaToday Even if the accusation was true, that Manmohan Singh was getting instructions from Sonia, yo… https://t.co/vbj2uB4jsL",msgohawar IndiaToday Even accusation true Manmohan Singh getting instructions Sonia yo,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,Bhārat Gaṇarājya 🇮🇳,
1249033350276251648,@kanhaiyakumar Gaddar aaj kal modi gov ko gali nhi de raha lgta h sudhar gya tere jase gaddaro ne hi hindu ko kamjo… https://t.co/pGry4xI19Z,Knhayakumar traitor nowadays Modi village has improved are sure not abusing you as traitors Kmjo the Hindu,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)",0.5,0.8888888888888888,hi,,
1249033338591068162,@SunkitSrivasta1 @asadowaisi Modi ji ka apne mama ke ghar se lakar denge khana unke plate ka khana badan ka kapda r… https://t.co/u5iJQxo4dL,Sunkitsriwast 1 Adwaisi Modi's will bring to his uncle's house to eat dress and eat the body of his plate,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,et,"Nagpur, India",
1249033317179105282,India diverting corona effects and failure to handle worsening situation at the cost of Kashmiris. Despite USNG cal… https://t.co/U5DuUWM8JE,India diverting corona effects failure handle worsening situation cost Kashmiris Despite USNG cal,"Sentiment(polarity=-0.3166666666666667, subjectivity=0.3)",-0.3166666666666667,0.3,en,,
1249033309679689729,@PChidambaram_IN @narendramodi @PMOIndia @nsitharaman @FinMinIndia Modi should take immediate action Indian Governm… https://t.co/UfPsuYsgRf,PChidambaram_IN narendramodi PMOIndia nsitharaman FinMinIndia Modi take immediate action Indian Governm,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1,en,,
1249033305451671552,"What a lovely thought made in to a picture, We as a nation have full faith in Modi ji, and @narendramodi ji has ble… https://t.co/0zWKDxsMdB",What lovely thought made picture We nation full faith Modi ji narendramodi ji ble,"Sentiment(polarity=0.425, subjectivity=0.65)",0.425,0.65,en,"Mumbai, India",
